Time	U1	Uc1	I2	U2
0.000000	0.000000	0.000000	0.000000	0.000000
0.000100	0.100000	0.003268	0.000000	0.000001
0.000200	0.200000	0.012793	0.000002	0.000005
0.000300	0.300000	0.028171	0.000004	0.000015
0.000400	0.400000	0.049027	0.000007	0.000035
0.000500	0.500000	0.075006	0.000010	0.000067
0.000600	0.600000	0.105781	0.000014	0.000113
0.000700	0.700000	0.141040	0.000019	0.000177
0.000800	0.800000	0.180497	0.000024	0.000261
0.000900	0.900000	0.223880	0.000030	0.000365
0.001000	1.000000	0.270938	0.000037	0.000493
0.001100	1.100000	0.321432	0.000043	0.000647
0.001200	1.200000	0.375143	0.000051	0.000827
0.001300	1.300000	0.431862	0.000058	0.001036
0.001400	1.400000	0.491397	0.000066	0.001275
0.001500	1.500000	0.553566	0.000074	0.001545
0.001600	1.600000	0.618199	0.000083	0.001849
0.001700	1.700000	0.685137	0.000092	0.002186
0.001800	1.800000	0.754233	0.000101	0.002558
0.001900	1.900000	0.825347	0.000111	0.002966
0.002000	2.000000	0.898350	0.000121	0.003411
0.002100	2.100000	0.973119	0.000131	0.003894
0.002200	2.200000	1.049541	0.000141	0.004416
0.002300	2.300000	1.127510	0.000151	0.004977
0.002400	2.400000	1.206926	0.000162	0.005579
0.002500	2.500000	1.287695	0.000172	0.006222
0.002600	2.600000	1.369731	0.000183	0.006906
0.002700	2.700000	1.452952	0.000194	0.007633
0.002800	2.800000	1.537281	0.000206	0.008402
0.002900	2.900000	1.622648	0.000217	0.009214
0.003000	3.000000	1.708985	0.000228	0.010070
0.003100	3.100000	1.796230	0.000240	0.010971
0.003200	3.200000	1.884325	0.000251	0.011915
0.003300	3.300000	1.973214	0.000263	0.012905
0.003400	3.400000	2.062847	0.000275	0.013939
0.003500	3.500000	2.153175	0.000287	0.015019
0.003600	3.600000	2.244154	0.000299	0.016145
0.003700	3.700000	2.335742	0.000311	0.017317
0.003800	3.800000	2.427899	0.000323	0.018535
0.003900	3.900000	2.520589	0.000335	0.019799
0.004000	4.000000	2.613778	0.000347	0.021110
0.004100	4.100000	2.707433	0.000359	0.022467
0.004200	4.200000	2.801524	0.000371	0.023872
0.004300	4.300000	2.896023	0.000383	0.025323
0.004400	4.400000	2.990904	0.000396	0.026821
0.004500	4.500000	3.086143	0.000408	0.028367
0.004600	4.600000	3.181715	0.000420	0.029960
0.004700	4.700000	3.277600	0.000433	0.031600
0.004800	4.800000	3.373778	0.000445	0.033288
0.004900	4.900000	3.470228	0.000457	0.035022
0.005000	5.000000	3.566935	0.000470	0.036805
0.005100	5.100000	3.663881	0.000482	0.038635
0.005200	5.200000	3.761050	0.000494	0.040512
0.005300	5.300000	3.858429	0.000507	0.042437
0.005400	5.400000	3.956004	0.000519	0.044409
0.005500	5.500000	4.053762	0.000531	0.046428
0.005600	5.600000	4.151691	0.000544	0.048495
0.005700	5.700000	4.249781	0.000556	0.050609
0.005800	5.800000	4.348020	0.000568	0.052771
0.005900	5.900000	4.446399	0.000580	0.054979
0.006000	6.000000	4.544909	0.000593	0.057235
0.006100	6.100000	4.643542	0.000605	0.059538
0.006200	6.200000	4.742289	0.000617	0.061888
0.006300	6.300000	4.841143	0.000629	0.064285
0.006400	6.400000	4.940097	0.000641	0.066729
0.006500	6.500000	5.039145	0.000654	0.069219
0.006600	6.600000	5.138280	0.000666	0.071756
0.006700	6.700000	5.237497	0.000678	0.074340
0.006800	6.800000	5.336790	0.000690	0.076970
0.006900	6.900000	5.436155	0.000702	0.079646
0.007000	7.000000	5.535586	0.000714	0.082369
0.007100	7.100000	5.635080	0.000726	0.085138
0.007200	7.200000	5.734632	0.000738	0.087952
0.007300	7.300000	5.834239	0.000750	0.090813
0.007400	7.400000	5.933896	0.000762	0.093719
0.007500	7.500000	6.033600	0.000773	0.096670
0.007600	7.600000	6.133349	0.000785	0.099667
0.007700	7.700000	6.233139	0.000797	0.102710
0.007800	7.800000	6.332968	0.000809	0.105797
0.007900	7.900000	6.432833	0.000820	0.108930
0.008000	8.000000	6.532732	0.000832	0.112107
0.008100	8.100000	6.632661	0.000843	0.115329
0.008200	8.200000	6.732620	0.000855	0.118595
0.008300	8.300000	6.832606	0.000866	0.121905
0.008400	8.400000	6.932618	0.000878	0.125260
0.008500	8.500000	7.032653	0.000889	0.128659
0.008600	8.600000	7.132710	0.000901	0.132101
0.008700	8.700000	7.232788	0.000912	0.135587
0.008800	8.800000	7.332885	0.000923	0.139117
0.008900	8.900000	7.432999	0.000935	0.142690
0.009000	9.000000	7.533131	0.000946	0.146305
0.009100	9.100000	7.633277	0.000957	0.149964
0.009200	9.200000	7.733437	0.000968	0.153665
0.009300	9.300000	7.833611	0.000979	0.157409
0.009400	9.400000	7.933797	0.000990	0.161195
0.009500	9.500000	8.033994	0.001001	0.165024
0.009600	9.600000	8.134202	0.001012	0.168894
0.009700	9.700000	8.234420	0.001022	0.172806
0.009800	9.800000	8.334646	0.001033	0.176759
0.009900	9.900000	8.434881	0.001044	0.180754
0.010000	10.000000	8.535123	0.001055	0.184789
0.010100	9.900000	8.628836	0.001064	0.188865
0.010200	9.800000	8.710043	0.001072	0.192974
0.010300	9.700000	8.779547	0.001079	0.197111
0.010400	9.600000	8.838103	0.001083	0.201269
0.010500	9.500000	8.886416	0.001087	0.205443
0.010600	9.400000	8.925144	0.001089	0.209627
0.010700	9.300000	8.954905	0.001090	0.213817
0.010800	9.200000	8.976276	0.001089	0.218007
0.010900	9.100000	8.989797	0.001088	0.222193
0.011000	9.000000	8.995973	0.001085	0.226372
0.011100	8.900000	8.995277	0.001081	0.230538
0.011200	8.800000	8.988151	0.001077	0.234689
0.011300	8.700000	8.975010	0.001072	0.238821
0.011400	8.600000	8.956240	0.001065	0.242931
0.011500	8.500000	8.932204	0.001059	0.247016
0.011600	8.400000	8.903240	0.001051	0.251073
0.011700	8.300000	8.869666	0.001043	0.255099
0.011800	8.200000	8.831779	0.001034	0.259092
0.011900	8.100000	8.789855	0.001024	0.263050
